"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 30 07:24:19 UTC 2026","Thu Apr 30 07:26:04 UTC 2026","104873","Hana POS Automation - UI (headless)","customerPortalPaymentTestcases/Hana_T_CustomerPortalPaymentWithExistingCustomer.spec.ts","","","","Hana_T Customer Portal Payment with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:37:32 UTC 2026","Thu Apr 30 07:39:14 UTC 2026","102135","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1048.spec.ts","","","","Hana_T1048 - Update Order upgrade order Functionality Test",""
"failed","Thu Apr 30 07:34:26 UTC 2026","Thu Apr 30 07:35:43 UTC 2026","76972","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T283.spec.ts","","","","Hana_T272 - Add Event Proposal with New Customer Functionality Test",""
"failed","Thu Apr 30 07:15:05 UTC 2026","Thu Apr 30 07:16:51 UTC 2026","106042","Hana POS Automation - UI (headless)","advanceDispatchTestcases/Hana_T952.spec.ts","","","","Hana_T952 - Advance Dispatch with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:15:06 UTC 2026","Thu Apr 30 07:16:53 UTC 2026","107411","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T1342.spec.ts","","","","Hana_T1342 - Cash and Carry Page - Payments - E Gift Card Payment - Functionality Test",""
"failed","Thu Apr 30 07:26:07 UTC 2026","Thu Apr 30 07:27:49 UTC 2026","102219","Hana POS Automation - UI (headless)","makePaymentTestcases/Hana_T_CheckPaymentTest.spec.ts","","","","Hana_T - Make Payment with Check Payment Functionality Test",""
"passed","Thu Apr 30 07:24:24 UTC 2026","Thu Apr 30 07:25:23 UTC 2026","59210","Hana POS Automation - UI (headless)","emailMarketingTestcases/Hana_T1616_Email_Campaign_Regressin_Testcase_Functionality.spec.ts","","","","Hana_T1616 - Email Campaign - Regression Testcase - Functionality",""
"failed","Thu Apr 30 07:34:24 UTC 2026","Thu Apr 30 07:35:43 UTC 2026","78859","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T272.spec.ts","","","","Hana_T272 - Add Proposal CreateProposalPage Event Functionality Test",""
"passed","Thu Apr 30 07:43:25 UTC 2026","Thu Apr 30 07:43:56 UTC 2026","31635","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/createNewAddonsTest.spec.ts","Web Admin Module - Add-Ons","","","Validate Hana_T_Webadmin_Add_New_AddOn_Test",""
"failed","Thu Apr 30 07:26:12 UTC 2026","Thu Apr 30 07:27:55 UTC 2026","103071","Hana POS Automation - UI (headless)","makePaymentTestcases/Hana_T_CreditCardPaymentTest.spec.ts","","","","Hana_T - Make Payment with Credit Card Payment Functionality Test",""
"failed","Thu Apr 30 07:37:31 UTC 2026","Thu Apr 30 07:39:15 UTC 2026","104375","Hana POS Automation - UI (headless)","recentOrdersTestcases/Hana_T1047.spec.ts","","","","Hana_T1047 - Update Order upgrade order with Invoice House Account Functionality Test",""
"failed","Thu Apr 30 07:39:17 UTC 2026","Thu Apr 30 07:39:58 UTC 2026","40601","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_CashOnDelivery_Payment_FunctionalityTest.spec.ts","Checkout Page - Delivery Type Cash On Delivery Payment Functionality","","","Checkout Page Delivery Type - Payment Section as COD Functionality Test",""
"failed","Thu Apr 30 07:16:57 UTC 2026","Thu Apr 30 07:18:46 UTC 2026","109147","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T28.spec.ts","","","","Hana_T28 - Cash and Carry Page - Payments - Physical Gift Card Payment - Functionality Test",""
"failed","Thu Apr 30 07:29:35 UTC 2026","Thu Apr 30 07:31:16 UTC 2026","101192","Hana POS Automation - UI (headless)","phoneOrderTestcases/pickup_PhoneOrderTestcases/Hana_T270_pickup_functionality_with_existing_customer_functionality_test.spec.ts","","","","Phone Order Pickup Type with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:40:43 UTC 2026","Thu Apr 30 07:41:26 UTC 2026","42300","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_PickupType_PayAtPickup_Payment_FunctionalityTest.spec.ts","Checkout Page - Pickup Type Pay At Pickup Payment Functionality","","","Checkout Page Pickup Type - Pay At Pickup Payment End to End Functionality Test",""
"failed","Thu Apr 30 07:20:40 UTC 2026","Thu Apr 30 07:22:27 UTC 2026","106658","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T56.spec.ts","","","","Hana_T56 - Cash and Carry Page - Payments - Invoice House Account Payment Section - Functionality Test",""
"failed","Thu Apr 30 07:43:09 UTC 2026","Thu Apr 30 07:44:52 UTC 2026","103024","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/addNewSubscriptionProduct_Test.spec.ts","Web Admin Add New Subscription Product Enabled Functionality","","","Web admin Add New subscription Product Availability Active Enabled Functionality Test",""
"failed","Thu Apr 30 07:43:56 UTC 2026","Thu Apr 30 07:44:23 UTC 2026","26314","Hana POS Automation - UI (headless)","website_Testcases/webAdminTestcases/createNewAddonsTest.spec.ts","Web Admin Module - Add-Ons","","","Validate Hana_T_Webadmin_Update_AddOn_Test",""
"failed","Thu Apr 30 07:34:00 UTC 2026","Thu Apr 30 07:35:10 UTC 2026","70518","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T259.spec.ts","","","","Hana_T259 - Wedding Proposal with New customer Functionality Test",""
"failed","Thu Apr 30 07:31:18 UTC 2026","Thu Apr 30 07:33:01 UTC 2026","103595","Hana POS Automation - UI (headless)","phoneOrderTestcases/wireout_PhoneOrderTestcases/Hana_T519.spec.ts","","","","Hana_T519 - Order Entry Page - Wire Out - Functionality with Existing customer - Functionality Test",""
"failed","Thu Apr 30 07:32:41 UTC 2026","Thu Apr 30 07:33:56 UTC 2026","74407","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T_Event_Proposal_MakePayment_FunctionalityTest.spec.ts","","","","Hana_T272 - Add Proposal CreateProposalPage Event Functionality Test",""
"failed","Thu Apr 30 07:22:33 UTC 2026","Thu Apr 30 07:24:20 UTC 2026","106453","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T65.spec.ts","","","","Hana_T65 - Cash and Carry Page - Payments - Payment Section - Add New Customer Functionality Test",""
"failed","Thu Apr 30 07:20:40 UTC 2026","Thu Apr 30 07:22:26 UTC 2026","106622","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T53.spec.ts","","","","Hana_T53 - Cash and Carry Page - Payments - Check Payment Section - Functionality Test",""
"failed","Thu Apr 30 07:33:16 UTC 2026","Thu Apr 30 07:34:20 UTC 2026","63966","Hana POS Automation - UI (headless)","proposalTestcases/Hana_T243.spec.ts","","","","Hana_T243 - Wedding Proposal with existing customer Functionality Test",""
"failed","Thu Apr 30 07:39:18 UTC 2026","Thu Apr 30 07:39:59 UTC 2026","40456","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_CreditCard_Payment_FunctionalityTest.spec.ts","","","","Checkout Page - Delivery Type Credit Card Payment Functionality Test",""
"failed","Thu Apr 30 07:35:14 UTC 2026","Thu Apr 30 07:36:56 UTC 2026","102075","Hana POS Automation - UI (headless)","quickDispatchTestCases/Hana_T711.spec.ts","","","","Hana_T711 - Quick Dispatch with Existing Customer Scan Order Functionality Test",""
"failed","Thu Apr 30 07:35:46 UTC 2026","Thu Apr 30 07:37:29 UTC 2026","102944","Hana POS Automation - UI (headless)","quickDispatchTestCases/Hana_T712.spec.ts","","","","Hana_T712 - Quick Dispatch with Existing Customer Functionality Test",""
"failed","Thu Apr 30 07:40:00 UTC 2026","Thu Apr 30 07:40:40 UTC 2026","40012","Hana POS Automation - UI (headless)","website_Testcases/paymentTypeTestcases/checkoutPage_DeliveryType_InvoiceHouseAccount_Payment_FunctionalityTest.spec.ts","Checkout Page - Delivery Type Invoice House Account Payment Functionality","","","Checkout Page Delivery Type - Invoice House Account Payment Functionality Test",""
"failed","Thu Apr 30 07:18:50 UTC 2026","Thu Apr 30 07:20:35 UTC 2026","105358","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T43.spec.ts","","","","Hana_T43 - Cash and Carry Page - Payments- Split Payment - Functionality Test",""
"failed","Thu Apr 30 07:22:31 UTC 2026","Thu Apr 30 07:24:16 UTC 2026","105608","Hana POS Automation - UI (headless)","cash_And_Carry_Page_Testcases/Hana_T61.spec.ts","","","","Hana_T61 - Cash and Carry Page - Payments - Physical Gift Card Payment - Functionality Test",""
"failed","Thu Apr 30 07:29:44 UTC 2026","Thu Apr 30 07:31:26 UTC 2026","101886","Hana POS Automation - UI (headless)","phoneOrderTestcases/pickup_PhoneOrderTestcases/Hana_T271_pickup_functionality_with_new_customer_functionality_test.spec.ts","","","","Phone Order Pickup Type with New Customer Functionality Test",""
