"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Phone Order Module - Delivery Type","","0","0","2","0","0"
"","Phone Order Module - WireIn Type","","0","0","1","0","0"
"","Cash & Carry Orders","","1","0","12","0","0"
"","Proposal Module - Wedding Proposal Make Payments","","1","0","0","0","0"
"","Recent Orders -> Update Order","","0","0","3","0","0"
"","Proposal Module - Wedding Proposal","","2","0","0","0","0"
"","Recent Orders -> Cancel Order","","1","0","0","0","0"
"Web Admin Module - Add-Ons","","","1","0","1","0","0"
"","Web Admin -> Products","","0","0","4","0","0"
"","Login Page Testcases","","1","0","1","0","0"
"","Quick Dispatch","","0","0","2","0","0"
"","Make Payment","","1","0","1","0","0"
"","Email Campaigns","","0","0","1","0","0"
"","Phone Order Module - Pickup Type","","0","0","2","0","0"
"","Web Admin -> Categories","","0","0","1","0","0"
"","Checkout Page - Payments","","2","0","5","0","0"
"","Recent Orders -> Status","","0","0","1","0","0"
"","Phone Order Module - WireOut Type","","0","0","2","0","0"
"","Proposal Module - Event","","2","0","0","0","0"
"","Delivery Confirmation in POS","","0","0","1","0","0"
"","Advance Dispatch","","0","0","2","0","0"
"","Customer Portal -> Payments","","1","0","0","0","0"
"","Proposal Module - Event Proposal Make Payments","","1","0","0","0","0"
