"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214904","Hana_T - Make Payment with Check Payment Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","makePaymentTestcases\Hana_T_CheckPaymentTest.spec.ts","",""
"","860","Hana_T - Make Payment with Credit Card Payment Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","skipped","2026-08-14","","makePaymentTestcases\Hana_T_CreditCardPaymentTest_ViaOrderDetailsPopup.spec.ts","",""
"","309042","Hana_T28 - Cash and Carry Page - Payments - Physical Gift Card Payment - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T28.spec.ts","",""
"","211020","Hana_T455 - Order Entry Page - Wire In - Wire In Info - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","phoneOrderTestcases\wirein_PhoneOrderTestCases\Hana_T455.spec.ts","",""
"","163728","Hana_T1616 - Email Campaign - Regression Testcase - Functionality","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","emailMarketingTestcases\Hana_T1616_Email_Campaign_Regressin_Testcase_Functionality.spec.ts","",""
"","227622","Hana_T33 - Cash and Carry Page -Purchase Product with Coupon - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T33.spec.ts","",""
"","147735","Hana_T59 - Cash and Carry Page - Payments - Paid Outside Hana POH Payment Section - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T59.spec.ts","",""
"","225168","Hana_TC270 - Phone Order Pickup Type with Existing Customer Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","phoneOrderTestcases\pickup_PhoneOrderTestcases\Hana_T270_pickup_functionality_with_existing_customer_functionality_test.spec.ts","",""
"","874","Hana_T - Make Payment with Credit Card Payment Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","skipped","2026-08-14","","makePaymentTestcases\Hana_T_CreditCardPaymentTest.spec.ts","",""
"","178934","Hana_T40 - Cash and Carry Page - Split Payment - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T40.spec.ts","",""
"","179468","Hana_T53 - Cash and Carry Page - Payments - Check Payment Section - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T53.spec.ts","",""
"","138451","Hana_T51 - Cash and Carry Page - Payments - Cash Payment Section - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T51.spec.ts","",""
"","203746","Hana_T519 - Order Entry Page - Wire Out - Functionality with Existing customer - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","phoneOrderTestcases\wireout_PhoneOrderTestcases\Hana_T519.spec.ts","",""
"","163316","Hana_T1617 - Advanced Email Campaign - Functionality","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","emailMarketingTestcases\Hana_T1617_Advanced_Email_Campaign_Functionality.spec.ts","",""
"","61803","Verify that Login with MFA user is successful","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","Login Page Testcases","loginPageTestcases\loginWithMFATest.spec.ts","",""
"","232295","Hana_T520 - Order Entry Page - Wire Out - Functionality with New customer - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","phoneOrderTestcases\wireout_PhoneOrderTestcases\Hana_T520.spec.ts","",""
"","183733","Phone Order Pickup Type with New Customer Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","phoneOrderTestcases\pickup_PhoneOrderTestcases\Hana_T271_pickup_functionality_with_new_customer_functionality_test.spec.ts","",""
"","142572","Hana_T68 - Cash and Carry Page - Payments - Donation Payment Section - Functionality Test","Hana POS Automation - UI (headed)","2026-08-14","passed","2026-08-14","","cash_And_Carry_Page_Testcases\Hana_T68.spec.ts","",""
